10 30
3.460016323084780e-01 1.916610670660891e+00 0.000000000000000e+00
3.485267039054173e-01 2.090729516938335e+00 0.000000000000000e+00
3.513213159680431e-01 2.264811287428547e+00 0.000000000000000e+00
3.543935490602742e-01 2.438850923098784e+00 0.000000000000000e+00
3.577725024690923e-01 2.612839375633897e+00 0.000000000000000e+00
3.614698578120545e-01 2.786769472424833e+00 0.000000000000000e+00
3.655127531081698e-01 2.960630366676232e+00 0.000000000000000e+00
3.699430939157016e-01 3.134406196075687e+00 0.000000000000000e+00
3.747900392647990e-01 3.308081762985220e+00 0.000000000000000e+00
3.801051813943292e-01 3.481633866614910e+00 0.000000000000000e+00
3.859524356679123e-01 3.655031716475517e+00 0.000000000000000e+00
3.924119357599151e-01 3.828233728504735e+00 0.000000000000000e+00
3.996166494934218e-01 4.001170483853982e+00 0.000000000000000e+00
4.077098221626465e-01 4.173752243013721e+00 0.000000000000000e+00
4.169546484318774e-01 4.345810854053878e+00 0.000000000000000e+00
4.277514575283353e-01 4.517050194034192e+00 0.000000000000000e+00
4.409104137155351e-01 4.686782972090842e+00 0.000000000000000e+00
4.582991242749152e-01 4.852982552420382e+00 0.000000000000000e+00
4.882148869802249e-01 5.000000000000000e+00 0.000000000000000e+00
4.444444444444444e-01 -3.061616997868383e-16 0.000000000000000e+00
4.444791383226995e-01 1.742833606131530e-01 0.000000000000000e+00
4.445805994450280e-01 3.485645864216546e-01 0.000000000000000e+00
4.447491644578050e-01 5.228415926675849e-01 0.000000000000000e+00
4.449853842686259e-01 6.971122406344052e-01 0.000000000000000e+00
4.452905970258444e-01 8.713742209666173e-01 0.000000000000000e+00
4.456680555832253e-01 1.045624731436757e+00 0.000000000000000e+00
4.461164721219692e-01 1.219861596110793e+00 0.000000000000000e+00
4.466374099796107e-01 1.394082117981006e+00 0.000000000000000e+00
4.472342896311521e-01 1.568282907297311e+00 0.000000000000000e+00
4.479109552848537e-01 1.742460057897148e+00 0.000000000000000e+00
4.486672107694939e-01 1.916610670660891e+00 0.000000000000000e+00
4.495089013018072e-01 2.090729516938335e+00 0.000000000000000e+00
4.504404386560159e-01 2.264811287428547e+00 0.000000000000000e+00
4.514645163534264e-01 2.438850923098784e+00 0.000000000000000e+00
4.525908341563660e-01 2.612839375633897e+00 0.000000000000000e+00
4.538232859373535e-01 2.786769472424832e+00 0.000000000000000e+00
4.551709177027254e-01 2.960630366676233e+00 0.000000000000000e+00
4.566476979719030e-01 3.134406196075687e+00 0.000000000000000e+00
4.582633464216023e-01 3.308081762985219e+00 0.000000000000000e+00
4.600350604647792e-01 3.481633866614909e+00 0.000000000000000e+00
4.619841452226403e-01 3.655031716475517e+00 0.000000000000000e+00
4.641373119199746e-01 3.828233728504735e+00 0.000000000000000e+00
4.665388831644771e-01 4.001170483853982e+00 0.000000000000000e+00
4.692366073875519e-01 4.173752243013721e+00 0.000000000000000e+00
4.723182161439619e-01 4.345810854053878e+00 0.000000000000000e+00
4.759171525094479e-01 4.517050194034190e+00 0.000000000000000e+00
4.803034712385142e-01 4.686782972090842e+00 0.000000000000000e+00
4.860997080916404e-01 4.852982552420382e+00 0.000000000000000e+00
4.960716289934089e-01 5.000000000000000e+00 0.000000000000000e+00
5.555555555555556e-01 -3.061616997868383e-16 0.000000000000000e+00
5.555208616773004e-01 1.742833606131530e-01 0.000000000000000e+00
5.554194005549720e-01 3.485645864216547e-01 0.000000000000000e+00
5.552508355421950e-01 5.228415926675853e-01 0.000000000000000e+00
5.550146157313742e-01 6.971122406344050e-01 0.000000000000000e+00
5.547094029741556e-01 8.713742209666174e-01 0.000000000000000e+00
5.543319444167747e-01 1.045624731436757e+00 0.000000000000000e+00
5.538835278780307e-01 1.219861596110793e+00 0.000000000000000e+00
5.533625900203893e-01 1.394082117981006e+00 0.000000000000000e+00
5.527657103688479e-01 1.568282907297311e+00 0.000000000000000e+00
5.520890447151461e-01 1.742460057897149e+00 0.000000000000000e+00
5.513327892305061e-01 1.916610670660891e+00 0.000000000000000e+00
5.504910986981927e-01 2.090729516938335e+00 0.000000000000000e+00
5.495595613439841e-01 2.264811287428546e+00 0.000000000000000e+00
5.485354836465735e-01 2.438850923098784e+00 0.000000000000000e+00
5.474091658436342e-01 2.612839375633897e+00 0.000000000000000e+00
5.461767140626466e-01 2.786769472424833e+00 0.000000000000000e+00
5.448290822972741e-01 2.960630366676232e+00 0.000000000000000e+00
5.433523020280968e-01 3.134406196075687e+00 0.000000000000000e+00
5.417366535783976e-01 3.308081762985219e+00 0.000000000000000e+00
5.399649395352207e-01 3.481633866614909e+00 0.000000000000000e+00
5.380158547773596e-01 3.655031716475517e+00 0.000000000000000e+00
5.358626880800250e-01 3.828233728504736e+00 0.000000000000000e+00
5.334611168355230e-01 4.001170483853982e+00 0.000000000000000e+00
5.307633926124481e-01 4.173752243013721e+00 0.000000000000000e+00
5.276817838560376e-01 4.345810854053878e+00 0.000000000000000e+00
5.240828474905520e-01 4.517050194034190e+00 0.000000000000000e+00
